"AgeGroup","Sex","category","Difference (More Strict AvgDeathsPer100k - Less Strict AvgDeathsPer100k","t_value","p_value"
"12–20","Females","All",-6.30272604385573,2.27238857421994,0.0280225026568459
"12–20","Females","Firearm",-3.33334633489175,2.83965015874597,0.00678477168701209
"12–20","Females","Non-Firearm",-3.84106339309622,1.65097579733515,0.105835185787739
"12–20","Males","All",-10.8136257204543,2.30279404987223,0.0258725387806125
"12–20","Males","Firearm",-11.4170689091406,2.99674005208582,0.00445287487684255
"12–20","Males","Non-Firearm",-5.91741315040107,2.08169931072323,0.0429797628152319
"21–30","Females","All",-8.09968105363309,2.27757106227626,0.0274489449788675
"21–30","Females","Firearm",-5.33291793856969,2.85766209838503,0.00642983931860658
"21–30","Females","Non-Firearm",-5.01454788999149,2.08294439022206,0.0428918135570445
"21–30","Males","All",-11.5558906012705,1.96869462307709,0.0564100624708247
"21–30","Males","Firearm",-12.6664738263393,2.2051264010188,0.0330937915594196
"21–30","Males","Non-Firearm",-7.7656240149129,1.86808704986264,0.0681839888864441
"31–40","Females","All",-8.95440926087531,2.45558103455385,0.0179690877589661
"31–40","Females","Firearm",-6.34405492488657,3.50321970980291,0.00103945912665765
"31–40","Females","Non-Firearm",-5.40753457720711,2.08845898141653,0.0428542115525901
"31–40","Males","All",-13.1949187076569,2.03421612058885,0.0494352556394639
"31–40","Males","Firearm",-12.9186622967863,2.46959489170113,0.0174912601132657
"31–40","Males","Non-Firearm",-8.28584106529492,1.5377653705109,0.132315862018729
"41–50","Females","All",-9.50381471679668,2.3513189626658,0.0231970077483979
"41–50","Females","Firearm",-7.57007273283252,4.10241419922612,0.000166570023033228
"41–50","Females","Non-Firearm",-4.76882755618282,1.61751335089854,0.114016444018145
"41–50","Males","All",-13.9433897666197,2.1053498497384,0.0412192213041426
"41–50","Males","Firearm",-14.7992314508983,2.6142904130051,0.0120660226236865
"41–50","Males","Non-Firearm",-8.06966242639317,1.62676170255398,0.111409467197987
"51–60","Females","All",-9.49955776868555,2.48673073670639,0.0165832604754215
"51–60","Females","Firearm",-6.64112289280919,3.47449386271772,0.00114944353052135
"51–60","Females","Non-Firearm",-5.35296395057485,1.947249622075,0.0578274328137004
"51–60","Males","All",-8.61073855386549,1.49571504667055,0.142838147075882
"51–60","Males","Firearm",-12.1154466728452,2.22608023306552,0.0316633734499074
"51–60","Males","Non-Firearm",-5.42253817515947,1.31209234171854,0.19676081432428
"61-70","Females","All",-5.31192748859493,1.88519397099255,0.0660025811000341
"61-70","Females","Firearm",-4.5967681427873,2.68657579343101,0.0102271309952741
"61-70","Females","Non-Firearm",-0.818476343519874,0.405556312533504,0.687774884805318
"61-70","Males","All",-10.154385110705,1.71268819161818,0.0947368916040672
"61-70","Males","Firearm",-13.0105212519964,2.37824998161488,0.0220477461821273
"61-70","Males","Non-Firearm",-1.7482614024394,0.656999465008598,0.515370383894774
"71-80","Females","All",-2.16419057865998,0.85517208754546,0.397486350509726
"71-80","Females","Firearm",-2.3173542536729,1.3602294050415,0.182425493536898
"71-80","Females","Non-Firearm",1.3799007710902,-0.76186975353255,0.451311723574642
"71-80","Males","All",-21.7716568995526,2.48017510151351,0.0168569966947239
"71-80","Males","Firearm",-22.4864117766959,2.79579812142888,0.00752961897360835
"71-80","Males","Non-Firearm",-0.245416751703544,0.119733151471921,0.905233374388104
